Q84#4_2,Q84#4_3,Q84#4_1,Q84#4_4,Q84#6_4,Q84#6_1,Q84#6_2,Q84#6_3,Q84#2_1,Q84#2_2,Q84#2_3,Q84#2_4,Q84#3_1,Q84#3_3,Q84#3_2,Q84#3_4,Q84#5_2,Q84#5_1,Q84#5_4,Q84#1_4,Q84#1_3,Q84#1_2,Q84#1_1,Q84#5_3
Very Comfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Very Comfortable,Uncomfortable,Very Comfortable,Very Comfortable,Comfortable,Uncomfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Very Comfortable,Uncomfortable,Comfortable,Very Comfortable,Very Comfortable,Very Comfortable
Neutral,Comfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Comfortable,Very Uncomfortable,Very Comfortable,Comfortable,Neutral,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Neutral,Very Comfortable,Comfortable
Neutral,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Neutral,Neutral,Very Comfortable,Comfortable,Comfortable,Very Uncomfortable,Very Comfortable,Comfortable,Comfortable,Very Uncomfortable,Comfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Comfortable,Very Comfortable,Comfortable
Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Uncomfortable
Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Comfortable,Uncomfortable,Uncomfortable,Very Comfortable,Comfortable,Very Comfortable,Uncomfortable,Comfortable,Very Comfortable,Uncomfortable,Uncomfortable,Uncomfortable,Uncomfortable,Very Comfortable,Comfortable
Neutral,Comfortable,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Neutral,Comfortable,Very Comfortable,Neutral,Neutral,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Neutral,Neutral,Very Comfortable,Comfortable
Comfortable,Neutral,Very Comfortable,Neutral,Neutral,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Neutral,Neutral,Very Comfortable,Neutral,Comfortable,Neutral,Comfortable,Very Comfortable,Neutral,Neutral,Neutral,Comfortable,Very Comfortable,Neutral
Comfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Neutral,Very Comfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Very Comfortable,Neutral
Neutral,Neutral,Neutral,Uncomfortable,Neutral,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Comfortable,Neutral,Comfortable,Comfortable,Neutral,Neutral,Comfortable,Comfortable,Comfortable,Comfortable
Very Uncomfortable,Very Uncomfortable,Comfortable,Very Uncomfortable,Very Uncomfortable,Comfortable,Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Neutral,Very Comfortable,Very Uncomfortable,Very Uncomfortable,Very Uncomfortable,Uncomfortable,Comfortable,Uncomfortable
Uncomfortable,Uncomfortable,Comfortable,Neutral,Neutral,Comfortable,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable,Uncomfortable,Neutral,Comfortable,Uncomfortable,Uncomfortable,Neutral,Uncomfortable,Comfortable,Neutral,Neutral,Uncomfortable,Uncomfortable,Comfortable,Uncomfortable
