sr. no,sentence,aspect,sentiment score,label
1,well as the cost i don't want my personal medical information floating around i don't particular trust 3rd party app i feel  like they sells personal information for profits. the benefits is when i need my medical information/records  quickly i can access it easily with little to none trouble.,cost,0.9056,positive
2,"The benefits for me already have been stated here.  As for the costs: Because I incur no costs, I don't have an opinion.",cost,0.1027,positive
3,"I see the cost and benefits of the patient portal being the most streamlined because I'm already paying for the health insurance and this is a proprietary way to manage my health through them. It's a huge benefit because my health information is all in one place and the cost I can attribute to being a perk of my health insurance. It helps me to see all of the information in one place in an easy to read format. As far as apple health records or CommonHealth, I don't think they charge for access. With apple health, you are required to have apple products. I see the benefits of these to be similar because they're all different methods of tracking your health, so they all have value in my opinion. The third-party apps seem like a risk with sending your health information because there is no benefit to you, only to general society. It's a risk that seems unnecessary to take. ",cost,0.9477,positive
4,"It was not offered, but my real response for very uncomfortable is NOT HAPPENING. This is a precursor to the government freedom takeover for the covid corruption. Just my thought. ",covid corruption,0.4516,positive
7,Well I like the flexibility of choosing my own options. At the end of the day I want something I can trust and is friendly towards my end.,trust,0.9153,positive
9,The benefits would be information is easily sent and stored for the patient.,benefits,0.6124,positive
10,I think the cost would be invasion of privacy. Even though most companies will say it won't be used for other purposes it always ends up being that way. It would be good to be able to do that and use the apps but I don't think it's necessary.,cost,0.2382,positive
11,"Costs across the board are potential risks to data breach and unauthorized profiling. Costs are also the concern that patients can access too much information and believe they know better than their doctors (""I researched it"") and draw conclusions about their health history that could potential be a barrier to future health concerns. Benefits are the flip side of that: access to historical medical diagnosis and lab results could help a patient track trends in their health and comprehend bigger pictures of cause and effect. It's also just easier to handle what feels like 75% of all health issues remotely without wasting people's time. I feel like I'm always just asking for refills. ",risk,0.9282,positive
12,The benefits are that people have access to their health information. The cost is that private companies will use this information for their own financial gain. ,cost,0.7184,positive
13,"The two greatest benefits of these technologies are convenience and information. These portals and apps make it easier for people to aggregate and access their medical information. Apps for research help inform professionals in a more intimate way, as they can access material in one collective place. The greatest cost is privacy. Medical data is very personal and sensitive, and there is great risk that data could be leaked by companies to the government or could be gained through hacking. I feel uncomfortable with a phone company having access to my medical records.",cost,0.9531,positive
15,Apple and the portal are more trustworthy than third party apps,trust,0.7645,positive
16,The possible benefits of Apple Health or third party apps is that informaion from multiple sources might be aggregated and presented in a user friendly format. The benefit of the patient portal is accuracy and security. And third party apps for public good obviously are meant to benefit everyone and might require sufficient data from many sources to be most effective.,benefits,0.9747,positive
18,I am not sure whose costs you are referring to -- my WC portal costs me nothing and saves a great deal of time and sometimes worry ... it has to be of enormous benefits to my WC doctors/hospital/billing,cost,-0.6763,negative
19,The cost is that you give up some personal information to these companies. It may not be clear what all they may use that data for and if you have to worry about it being used for advertising. The benefits are that it allows you to easily access your records whenever you need to.,cost,-0.0217,negative
21,"I don't see any benefits, only risk in that my information could be stolen or misused.  Why does a third party app have to get involved in sharing for society's use? I have no control over where my info goes then. Or even if I do---that's one more place i have to manage security over my data.  ",benefits,-0.1984,negative
22,"Costs- privacy/security
Benefit- accessibility",privacy,0.4588,positive
23,"The patient portal offers me a significant benefit.
All of these options have the risk of leaking my data out, so you're going to have to show me significant benefit for me to take on that risk.  The research apps appear to offer me some indirect benefit.  The idea of sharing my data with an unspecified set of 3rd party apps makes me a bit queasy.  I don't really want to have to trust a large number of companies to protect my data.

I'm pretty sure my attitude would change sharply if there were anything in my medical history that I wanted hidden, either from family, from the insurance company, or from potential employers.  Under no circumstances would I want information about a history of abortion, chronic disease, substance abuse, or mental health treatment available online through any mechanism, no matter how well protected.",risk,0.9597,positive
24,The more apps that have access the worse this is. Privacy is poorly controlled and if my information is stolen it is on me because I agreed to a bunch of legal jargon. Apps can be and will be hacked. ,access,-0.7506,negative
25,"I think a patient portal is easy to use and handy to have if I want to access information. It is strictly between me and my healthcare system (local hospital and affiliated doctors) that operate it. 
I'm not sure I would use a third party app or something affiliated with a for-profit company like Apple because I'm not sure what they might do with my information to make money. ",access,0.6679,positive
26,I don’t see any benefits and I think the cost is high. ,cost,0.3818,positive
27,"Easy access, easy to share.  all info in one spot.   could be used by hackers",access,0.7906,positive
28,"They can help you better manage things when it comes to medical information, but they can also lead to a privacy issue if information is given out.",privacy,0.4215,positive
29,"My app already has these features. It is no cost to me, so no need for these.",cost,-0.5267,negative
32,Being able to access your health records through various apps could be a benefit.,access,0.4588,positive
33,"Having access to your records on the go would be beneficial when needing to share information with a provider. This could save time in having to search for this information piece-meal, and time is money. Additionally, a digital variant saves on paper, which thus also saves money.",access,0.8074,positive
34,Better control and access to their health record. Give a sense of clarity if they are able to go back and review what their provider wrote.,access,0.6808,positive
36,"Cost-wise, it could be a profitable opportunity to all the companies involved in providing access to the data.  As to benefits, more accurate diagnosis might be possible with all the input and more mindful treatment options might be suggested.  Certainly the patient could benefit from knowing test results without having to wait so long and be able to focus on the most crucial items.",benefits,0.9136,positive
37,I guess they can be useful for patients of clinics and smaller hospitals that don't have their own patient portals. It could save those clinics/hospitals money while giving their patients access to their medical data. The drawbacks are your data being sold to other parties and security breaches of your data. ,access,0.9118,positive
38,"The costs involve the risks of privacy as well as the risks of the technologies getting hacked.  The benefits consist of the convenience of appointment scheduling, appointment reminders, listing of prescriptions, and easy access to medical records.",cost,0.1779,positive
39,I don’t see it is very costly but definitely need constant improvements in technology and need updates. As far as benefits are concerned they are very beneficial for people,cost,0.9353,positive
41,There might be a subscription cost and the benefit is quick access to information. ,cost,0.4588,positive
42,"Costs - potential app store costs
beneifts - records easily accessible",cost,0.34,positive
43,"Benefit would be convenience, for sure. And cost would be privacy, and possible information theft/compromise.",cost,0.6486,positive
44,I dont consider an app having my data as a costs. So I guess benefits are ease of records for the user,cost,0.6573,positive
45,The costs are privacy and potentially price. The Benefits would be the ease of use and simplification.,cost,0.6249,positive
46,I think it's a good way for doctors to communicate especially in a referral situation. They can easily send over my information for them to review or give them access to it with my permission. ,access,0.6486,positive
47,I would be giving up some privacy but I would have important information available in case of emergency or when seeing a new doctor,privacy,-0.128,negative
48,Privacy wouldn't be as secure but access to medical information would be greater.,access,0.4082,positive
49,Building an environment that presents all the requested information in a easy to access database would seem like the task on the back end.  I think the cost would come from the partnerships needed to complete.,cost,0.6597,positive
50,A major strength of CommonHealth (if it connects with all my sources) is to pull my data from several sources into one location. The primary cost of all the tech is the risk of theft or misuse of personal data.,cost,0.2732,positive
51,The benefits are having more uniform record keeping and not needing to bounce around to different services. The cost is the reduction in privacy and risk of doxxing.,cost,0.128,positive
52,"Sometimes the cost can be negative because the user interface is not always friendly.

But once the learning curve has been closed the information can be of benefit. The benefits could be in monitoring one's diet etc.",cost,0.6412,positive
53,"The benefits are easy access to information for patients.  The main downsides to these apps, to me, are privacy concerns.",benefits,0.6705,positive
54,"Certain types of technologies may be more costly depending on who is providing these digital resources; an official healthcare portal being more expensive than the Apple utility, for example",cost,0.1045,positive
55,"At first, the cost will be high. As time passes the cost will drop.",cost,-0.2732,negative
56,"Being able to take more control of your healthcare, having better access to information, reducing the labor involved in healthcare administration, and overall having a closer connection to providers and information. ",access,0.4404,positive
57,The costs associated with technologies is awesome because it saves gas money. The benefit is that you get to use the technology from the comfort of your own home.,cost,0.8625,positive
58,I don't see any benefits from sharing my information to others.  The costs are my private information is available for others to see.,cost,0.1571,positive
59,"The main benefits are being ale to keep all of your info together and in a format that is easy to access quickly. That applies to all of the different types. The costs for all of the different types are similar as well - namely chance of a loss of privacy, your info being used for other purposes (like ads or worse), and getting locked out of your account by accident and losing access to that info. Third party apps have the highest level of risk, with patient portals having the least amount of risk and Apple Health/etc. being in the middle. ",cost,0.0258,positive
60,They seem similar. I don't see any cost involved for the patient.,cost,0.0,negative
61,I think the benefit is that it can be easier to access your medical history. The downside is there are privacy concerns. I would be worried about my information getting stolen. ,privacy,-0.1531,negative
62,"I think that they are very beneficial if used correctly.  However, as with anything digital, there is a higher risk of data being breached or exposed.",risk,0.2006,positive
63,The cost would be the release of personal data that may not be used as intended or could be subject to hacking. Benefits on a personal level would be the ease of having readily available information for medical purposes.,cost,0.6249,positive
64,"I see benefits of all of them except the third party apps, they don't need to know my business.",benefits,0.6486,positive
65,"I feel like patient portal, and apple should be lower in cost and the benefits are direct. I feel safer not to deal with third party apps. ",cost,0.8126,positive
66,There are definitely benefits to public health and individual health but as always there is a risk of lack of privacy ,benefits,-0.4497,negative
67,"Keeping in mind my understanding of and experience with - or the lack thereof - this is all I can say: Apps are on a phone, which is a mobile device that many people can get hold of. They are also only as reliable as both their code and how the device they're on uses that code, and that varies widely. Apple Health I know nothing about, having no Apple devices. Common Health I know only from what you've said here, which isn't enough to comment on the costs and benefits. Patient portals *on a website* (rather than an app) can also vary widely. I suppose these things might be good for people who don't keep their own records *but* - can they understand medical jargon? I'm a former RN, I know how these records are written because I've written some, and I doubt most ""civilians"" will be able to make sense of them - which means they'll go online looking for explanations, which can be dangerous (because of all the misinformation). They could be changed so that they can be understood by someone with no health care training but that takes time that most providers don't have (and no AI can handle), and it has the potential to make those records much less precise and clear for other health care practitioners. Basically - giving people access to their medical records is a good idea *in theory.* But I can't think of a good way to implement it.",cost,0.971,positive
68,"The patient portal is very convenient and probably secure, but I would be a little concerned about my information getting out in some way. All the others would be slightly more convenient, but also way less trustworthy with my data. ",trust,0.7319,positive
69,These apps can be free but the costs are coming related to patients privacy.,cost,0.2846,positive
70,"The biggest potential cost seems to be the chance for your personal health information to leak. The benefits are the potential to help with research, the ability to gain insight into your specific conditions etc., health and medication reminders and just general transparency with being able to easily access your health information whenever you want to.",cost,0.9062,positive
71,Benefits would be all my info would be available in one place for my doctors and me to see whenever we wanted and to help with public health overall. Security concerns is the only cost i see and i am not to worried about that.,cost,0.8219,positive
72,I see the benefits of being able to access my information faster and easier. They usually make sharing information between different doctors and practices easier as well. None of the websites I have used had an associated cost. I have not used this type of app on my cell phone. The best I have used is Google Fit for tracking my walking and estimating how strenuous it was based on the speed at which I walked as well as the time I spent walking.,cost,0.9633,positive
75,"the key point is who can access the data.  My healthcare provider NEEDS to know, others dont.  ",access,0.0,negative
76,I use patient portals quite often. I believe they provide a good service in that you can access your info without having to call and talk to a person. I am pro patient portals. I am against giving my medical info to third parties for medical research.,access,0.7906,positive
77,I feel that the benefit is having important information available to doctors quickly but at the cost of privacy.,cost,0.34,positive
78,There is no such thing as securely.  Data on the net in the hands of a vendor will soon be for sale on the net.  I allow my health care provider access because it helps my treatment.  Anything else is just evil.  ,access,0.3612,positive
79,The app can help me stay healthy and motivate me to exercise. It can also help me have easy access to my medical records whenever I need them. It can also remind me to take my medications. ,access,0.9118,positive
80,"I am more comfortable with third party apps which provide some sort of societal benefit, though even with these I have some concerns about revealing my full health information. These apps could be used for contact tracing to help mitigate a pandemic, a huge benefit. Third party apps with no societal benefit, I see as mostly risky with little reward, in that I don't think it's necessary for these apps to have access to my treatment plan, for example, in order to perform their basic functions. There is no need for me to put that information out there with those apps.

As far as the patient portal and CommonHealth, I think there would little security risk, and the information might be very useful if I were ever referred to a specialist or got a new doctor.",security risk,0.9712,positive
82,I don't see any benefits from the health apps. I find great value in patient portals. Doctors are often not good communicators so it is good to able to access all data from a keyboard. I don't see how a health app can give more utility. I get all of what I need from the portal.,benefits,0.129,positive
84,"The benefits for all these technologies is how easy and quick it would be to access these various health related things. However, a huge cost would be a privacy issue in my opinion. ",cost,0.7783,positive
